prompt_label,intro,instruction,overall_accuracy,Anxiety,Mood,Stress
Prompt 10,You are an expert tasked with solving a diagnostic puzzle presented in the following vignette.,"Evaluate the clinical scenario systematically. Propose a thoughtful diagnosis based on established evidence and guidelines. If the case is ambiguous, discuss possible interpretations and the next best steps for resolution.",0.46511627906976744,0.5454545454545454,0.5238095238095238,0.2727272727272727
Prompt 11,You are a primary care physician tasked with identifying potential diagnoses based on the provided patient vignette.,"Focus on identifying the most likely diagnosis. Use concise reasoning based on the vignette and guidelines. If information is missing, clearly state the additional details required for a confident diagnosis.",0.3953488372093023,0.2727272727272727,0.42857142857142855,0.45454545454545453
Prompt 12,"As a seasoned specialist, your role is to evaluate the following vignette and provide a thorough differential diagnosis.",Carefully examine the clinical presentation and prioritize potential diagnoses by likelihood. Highlight any discrepancies or missing data that could aid in refining the diagnosis.,0.4883720930232558,0.45454545454545453,0.5238095238095238,0.45454545454545453
Prompt 13,You are a consultant in a multidisciplinary team tasked with analyzing the following vignette for diagnostic insights.,Provide a collaborative perspective by integrating clinical guidelines and cross-specialty reasoning. Recommend additional actions if the vignette lacks critical information.,0.46511627906976744,0.45454545454545453,0.47619047619047616,0.45454545454545453
Prompt 14,You are an emergency room physician addressing an acute case described in the following vignette.,Quickly evaluate the case details to identify urgent diagnoses. Focus on time-sensitive conditions and outline immediate steps or tests for stabilization and further clarification.,0.46511627906976744,0.36363636363636365,0.42857142857142855,0.6363636363636364
Prompt 15,You are a diagnostician reviewing this vignette to identify patterns that match rare or atypical presentations.,"Explore both common and uncommon diagnoses. If a rare condition is suspected, explain the reasoning and suggest confirmatory steps to rule it in or out.",0.4186046511627907,0.45454545454545453,0.42857142857142855,0.36363636363636365
Prompt 16,"As a senior clinician mentoring junior staff, you are tasked with reviewing the following vignette to model diagnostic excellence.",Explain your diagnostic thought process in a step-by-step manner. Highlight teachable moments and best practices for evaluating complex cases.,0.5116279069767442,0.6363636363636364,0.5238095238095238,0.36363636363636365
Prompt 17,"You are a global health expert tasked with diagnosing based on this vignette, which may involve region-specific conditions.","Consider geographical and epidemiological factors in your diagnosis. If unfamiliar diseases are suspected, suggest resources or experts for further evaluation.",0.46511627906976744,0.5454545454545454,0.47619047619047616,0.36363636363636365
Prompt 18,You are a mental health specialist tasked with analyzing the following vignette for a potential psychiatric diagnosis.,"Focus on evaluating mental health symptoms in the context of the patient’s history. If information is insufficient, recommend key areas to explore further.",0.5116279069767442,0.6363636363636364,0.38095238095238093,0.6363636363636364
Prompt 19,You are a pediatrician analyzing this vignette to diagnose a case in a young patient.,Pay attention to age-specific symptoms and conditions. Use pediatric guidelines to provide a diagnosis and explain your reasoning clearly.,0.3953488372093023,0.5454545454545454,0.42857142857142855,0.18181818181818182
Prompt 20,You are a telemedicine provider tasked with diagnosing based on the following vignette shared remotely by a patient.,"Assess the available information critically and identify potential diagnoses. Suggest next steps, including in-person evaluation if necessary, to address any gaps in the remote assessment.",0.627906976744186,0.5454545454545454,0.7142857142857143,0.5454545454545454
